,image,label
137,"[[[161 122  75]
  [144  98  48]
  [136  83  32]
  ...
  [125 191  86]
  [121 187  79]
  [118 181  81]]

 [[127  88  44]
  [125  81  37]
  [126  83  35]
  ...
  [117 186  84]
  [109 181  68]
  [104 172  66]]

 [[119  77  34]
  [127  88  46]
  [118  84  44]
  ...
  [108 179  74]
  [106 176  69]
  [106 173  71]]

 ...

 [[215 213 211]
  [215 215 210]
  [218 218 215]
  ...
  [ 33  34  32]
  [ 65  69  68]
  [108 108 103]]

 [[210 206 205]
  [213 212 208]
  [216 216 213]
  ...
  [ 80  84  85]
  [116 113 110]
  [111 108 102]]

 [[210 207 206]
  [213 212 210]
  [214 213 211]
  ...
  [132 130 126]
  [120 117 115]
  [126 124 124]]]",1
138,"[[[106 102  96]
  [ 90  97 103]
  [104 122 124]
  ...
  [169 148 104]
  [169 147  97]
  [168 145  92]]

 [[117 110  99]
  [108 114 112]
  [119 126 125]
  ...
  [171 149 104]
  [171 149 103]
  [170 147 101]]

 [[113 108  99]
  [ 95 102 102]
  [114 123 122]
  ...
  [168 147 100]
  [169 148 100]
  [168 144  95]]

 ...

 [[167 172 176]
  [166 173 176]
  [166 174 177]
  ...
  [179 186 189]
  [178 185 189]
  [178 184 187]]

 [[166 171 176]
  [166 172 175]
  [166 172 175]
  ...
  [177 185 188]
  [177 184 187]
  [178 183 186]]

 [[167 170 174]
  [165 171 173]
  [165 171 172]
  ...
  [176 184 187]
  [177 183 187]
  [178 182 185]]]",1
139,"[[[27 21  9]
  [ 6  8  2]
  [12 17  5]
  ...
  [26 43 15]
  [27 48 19]
  [32 45 19]]

 [[31 24 12]
  [ 8  9  3]
  [12 19  5]
  ...
  [30 51 15]
  [28 50 15]
  [31 53 14]]

 [[20 17  8]
  [14 14  5]
  [ 9 16  3]
  ...
  [20 35 13]
  [20 37 14]
  [29 52 16]]

 ...

 [[22 34 16]
  [23 34 18]
  [21 32 16]
  ...
  [21 34 10]
  [23 46 12]
  [31 58 13]]

 [[23 37 19]
  [23 37 19]
  [22 35 17]
  ...
  [17 31  8]
  [30 53 14]
  [36 63 15]]

 [[22 36 18]
  [22 37 18]
  [21 33 16]
  ...
  [15 30  7]
  [34 58 13]
  [35 64 13]]]",0
140,"[[[ 62  82  58]
  [ 74  90  71]
  [ 67  84  56]
  ...
  [151 197 169]
  [230 246 245]
  [255 255 255]]

 [[ 76  90  66]
  [ 71  88  62]
  [ 61  82  48]
  ...
  [208 233 229]
  [253 254 254]
  [255 255 255]]

 [[ 77  93  51]
  [ 68  84  51]
  [ 61  82  49]
  ...
  [246 252 252]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 22  66  21]
  [ 24  68  22]
  [ 34  72  36]
  ...
  [ 57  94  73]
  [ 59  95  77]
  [ 51  89  71]]

 [[ 21  64  19]
  [ 22  66  21]
  [ 48  76  60]
  ...
  [ 53  91  74]
  [ 57  93  79]
  [ 50  89  73]]

 [[ 19  64  17]
  [ 21  64  21]
  [ 50  70  59]
  ...
  [ 57  92  81]
  [ 62  94  88]
  [ 54  91  82]]]",0
141,"[[[103  84  71]
  [103  84  71]
  [111  93  80]
  ...
  [138 115 101]
  [136 114  99]
  [130 108  93]]

 [[ 57  34  23]
  [ 65  42  31]
  [ 70  46  33]
  ...
  [133 112  98]
  [133 112  98]
  [130 110  95]]

 [[ 43  18  10]
  [ 51  22  12]
  [ 58  25  13]
  ...
  [ 95  70  52]
  [ 97  74  57]
  [ 96  74  55]]

 ...

 [[253 143  16]
  [254 145  15]
  [254 147  15]
  ...
  [252 209  51]
  [251 208  49]
  [250 208  48]]

 [[252 141  15]
  [253 144  18]
  [248 141  16]
  ...
  [251 206  46]
  [249 205  45]
  [247 203  46]]

 [[252 139  12]
  [251 142  17]
  [222 117  13]
  ...
  [251 205  46]
  [249 205  43]
  [247 203  41]]]",0
142,"[[[170 194 217]
  [172 196 220]
  [175 199 221]
  ...
  [188 166 180]
  [208 203 213]
  [195 188 200]]

 [[161 182 211]
  [154 160 194]
  [162 157 191]
  ...
  [133 104 141]
  [133 105 144]
  [130 103 143]]

 [[ 96  96 144]
  [111  92 136]
  [139 102 142]
  ...
  [ 45  21  72]
  [ 44  21  73]
  [ 44  23  75]]

 ...

 [[135 122 142]
  [137 124 155]
  [140 127 160]
  ...
  [104  87 119]
  [ 77  57  95]
  [ 84  66 102]]

 [[ 70  52  81]
  [ 66  47  88]
  [ 65  45  91]
  ...
  [ 38  26  69]
  [ 31  17  58]
  [ 32  18  61]]

 [[ 40  26  55]
  [ 34  20  57]
  [ 35  19  58]
  ...
  [ 40  29  67]
  [ 34  22  55]
  [ 35  24  60]]]",0
143,"[[[106 117  94]
  [104 113  91]
  [102 109  91]
  ...
  [ 46  72  10]
  [ 41  68   6]
  [ 33  65   4]]

 [[103 106  91]
  [104 107  92]
  [103 105  91]
  ...
  [ 44  71  10]
  [ 43  69   8]
  [ 32  64   4]]

 [[112 118 105]
  [108 115 101]
  [103 107  95]
  ...
  [ 43  70  10]
  [ 43  67   8]
  [ 32  62   5]]

 ...

 [[206 151 110]
  [204 149 108]
  [204 149 109]
  ...
  [207 142 108]
  [205 140 106]
  [201 138 104]]

 [[204 147 105]
  [200 145 104]
  [205 148 108]
  ...
  [205 139 105]
  [203 138 103]
  [199 135 101]]

 [[206 148 104]
  [205 147 105]
  [207 148 106]
  ...
  [205 137 102]
  [204 136 101]
  [201 134  98]]]",0
144,"[[[ 86  82  79]
  [ 87  83  80]
  [ 89  85  81]
  ...
  [ 36  33  41]
  [ 29  27  36]
  [ 29  26  35]]

 [[ 90  86  83]
  [ 92  87  84]
  [ 93  88  84]
  ...
  [ 28  25  30]
  [ 20  19  24]
  [ 23  20  26]]

 [[ 98  94  91]
  [100  95  91]
  [101  96  91]
  ...
  [ 21  19  21]
  [ 19  17  20]
  [ 37  33  35]]

 ...

 [[156 145 136]
  [163 155 148]
  [162 157 151]
  ...
  [ 58  64  78]
  [ 45  49  60]
  [ 46  52  65]]

 [[175 168 161]
  [176 172 166]
  [170 166 161]
  ...
  [ 90  97 111]
  [ 84  90 104]
  [ 84  91 106]]

 [[192 196 201]
  [193 200 205]
  [185 188 191]
  ...
  [ 89  95 105]
  [ 90  97 109]
  [ 88  94 107]]]",1
145,"[[[ 45  41  35]
  [ 53  48  37]
  [ 49  45  37]
  ...
  [ 86  35  15]
  [ 23  15  16]
  [ 14  12  15]]

 [[ 65  62  49]
  [ 56  52  39]
  [ 60  55  41]
  ...
  [ 78  26   9]
  [ 16  10  12]
  [ 13  10  14]]

 [[ 90  87  64]
  [ 50  47  37]
  [ 66  62  45]
  ...
  [ 69  24  10]
  [ 13   9  12]
  [ 10   8  11]]

 ...

 [[ 84  54  14]
  [155 109  21]
  [116  88  25]
  ...
  [  6   4   7]
  [  9   4   8]
  [ 60   3  10]]

 [[ 19  16  13]
  [ 42  30  12]
  [ 21  15  11]
  ...
  [  6   4   7]
  [  9   4   8]
  [ 63   3  10]]

 [[ 12  10  13]
  [  8   8  10]
  [  7   5   8]
  ...
  [  6   4   7]
  [  8   4   7]
  [ 65   4   8]]]",0
146,"[[[ 75  43  26]
  [ 76  46  29]
  [ 74  38  24]
  ...
  [ 62  31  23]
  [ 58  28  21]
  [ 55  31  25]]

 [[ 64  47  30]
  [ 63  49  31]
  [ 62  48  31]
  ...
  [ 61  34  27]
  [ 62  35  28]
  [ 57  36  27]]

 [[ 62  47  32]
  [ 61  47  30]
  [ 61  47  31]
  ...
  [ 62  38  31]
  [ 63  32  26]
  [ 61  32  25]]

 ...

 [[ 99  91  81]
  [ 85  77  68]
  [ 55  48  43]
  ...
  [ 27  25  16]
  [ 24  21  15]
  [ 25  22  15]]

 [[111 101  86]
  [104  94  81]
  [ 89  80  70]
  ...
  [ 33  29  21]
  [ 28  24  17]
  [ 21  18  15]]

 [[110  96  75]
  [110  98  83]
  [106  97  83]
  ...
  [ 48  44  34]
  [ 44  41  33]
  [ 43  39  30]]]",1
147,"[[[ 26  35  13]
  [ 27  35  12]
  [ 28  33  13]
  ...
  [ 87 116  62]
  [ 78 103  46]
  [ 65  89  28]]

 [[ 23  32  12]
  [ 26  35  13]
  [ 27  35  14]
  ...
  [ 71 106  55]
  [ 74 110  55]
  [ 73 105  46]]

 [[ 22  29  13]
  [ 23  32  13]
  [ 26  36  15]
  ...
  [ 73 112  60]
  [ 77 116  62]
  [ 74 111  48]]

 ...

 [[ 17  18   6]
  [ 28  25  14]
  [ 30  27  16]
  ...
  [ 69 100  45]
  [ 75 102  56]
  [ 80 103  61]]

 [[ 13  16   5]
  [ 21  22   9]
  [ 22  22  11]
  ...
  [ 63  99  43]
  [ 71  99  55]
  [ 79 104  57]]

 [[  9  11   4]
  [ 12  14   5]
  [ 15  17   7]
  ...
  [ 69 105  48]
  [ 75 103  55]
  [ 78 103  55]]]",0
148,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 254 247]
  [254 252 237]
  [254 245 210]]

 [[255 255 255]
  [255 255 255]
  [255 255 252]
  ...
  [253 254 247]
  [254 252 237]
  [255 246 209]]

 [[255 255 255]
  [255 255 254]
  [255 251 237]
  ...
  [253 254 247]
  [254 252 237]
  [255 246 209]]

 ...

 [[118  75  31]
  [106  63  24]
  [ 90  46  17]
  ...
  [111  72  37]
  [ 95  60  30]
  [ 79  50  26]]

 [[114  71  28]
  [106  64  23]
  [ 91  48  18]
  ...
  [109  69  36]
  [ 95  60  31]
  [ 77  49  25]]

 [[113  70  27]
  [107  64  23]
  [ 93  51  19]
  ...
  [102  65  33]
  [ 97  62  32]
  [ 76  47  24]]]",1
149,"[[[12 12 12]
  [18 18 18]
  [20 20 20]
  ...
  [36 36 36]
  [33 33 33]
  [29 29 29]]

 [[11 11 11]
  [18 18 18]
  [20 20 20]
  ...
  [47 47 47]
  [34 34 34]
  [32 32 32]]

 [[11 11 11]
  [17 17 17]
  [20 20 20]
  ...
  [37 37 37]
  [30 30 30]
  [35 35 35]]

 ...

 [[37 37 37]
  [33 33 33]
  [24 24 24]
  ...
  [33 33 33]
  [25 25 25]
  [18 18 18]]

 [[36 36 36]
  [32 32 32]
  [22 22 22]
  ...
  [40 40 40]
  [37 37 37]
  [34 34 34]]

 [[34 34 34]
  [31 31 31]
  [21 21 21]
  ...
  [55 55 55]
  [54 54 54]
  [47 47 47]]]",1
150,"[[[169 129  99]
  [172 131 101]
  [175 134 103]
  ...
  [136 101  82]
  [135  97  79]
  [136  97  79]]

 [[170 131  99]
  [173 136 103]
  [176 139 106]
  ...
  [129  88  71]
  [130  88  71]
  [138  95  77]]

 [[169 131 100]
  [174 138 106]
  [179 144 111]
  ...
  [135  91  74]
  [140  95  79]
  [144 100  82]]

 ...

 [[ 76  51  39]
  [ 76  50  38]
  [ 86  59  47]
  ...
  [ 43  37  38]
  [ 45  39  40]
  [ 42  34  32]]

 [[ 79  54  44]
  [ 85  57  45]
  [ 94  65  54]
  ...
  [ 19  15  12]
  [ 21  17  12]
  [ 24  17  12]]

 [[ 87  61  50]
  [ 88  62  50]
  [ 92  65  54]
  ...
  [  7   4   2]
  [  7   4   2]
  [  9   6   3]]]",1
151,"[[[110  76  28]
  [132  94  31]
  [135  95  34]
  ...
  [102  60   3]
  [ 87  48   6]
  [122  87  52]]

 [[120  88  35]
  [144 109  46]
  [146 110  49]
  ...
  [114  76  13]
  [103  65  13]
  [130  93  56]]

 [[128  98  47]
  [159 126  69]
  [163 131  74]
  ...
  [133 100  41]
  [125  91  33]
  [137 101  61]]

 ...

 [[ 22  18   9]
  [ 12  11   5]
  [ 27  30  17]
  ...
  [ 32  26   4]
  [ 58  45  27]
  [ 86  68  46]]

 [[ 33  25  17]
  [  9   6   3]
  [ 11   8   3]
  ...
  [ 33  25   3]
  [ 58  44  25]
  [ 97  77  47]]

 [[ 81  67  46]
  [ 76  63  45]
  [ 79  64  42]
  ...
  [ 47  36  21]
  [ 65  51  36]
  [105  86  58]]]",0
152,"[[[178 161 173]
  [117  98 100]
  [ 92  75  72]
  ...
  [ 90 100 101]
  [122 127 122]
  [ 71  97  45]]

 [[142 137 136]
  [124 113 116]
  [108  98 105]
  ...
  [ 84  94  92]
  [127 132 132]
  [ 93 110  75]]

 [[ 84  82  81]
  [101 103 103]
  [ 94  95  99]
  ...
  [ 78  89  84]
  [ 95 103  93]
  [107 114  96]]

 ...

 [[ 74  97  56]
  [ 75  96  56]
  [ 59  66  49]
  ...
  [159 139 126]
  [148 132 115]
  [142 120 110]]

 [[ 71  96  53]
  [ 79  99  60]
  [ 59  64  47]
  ...
  [160 136 127]
  [157 133 122]
  [142 125 110]]

 [[ 70  96  50]
  [ 68  88  50]
  [ 48  52  37]
  ...
  [144 133 115]
  [154 139 126]
  [140 135 116]]]",1
153,"[[[19 22  2]
  [23 26  2]
  [27 29  2]
  ...
  [99 87 33]
  [88 77 26]
  [96 85 36]]

 [[ 7 12  2]
  [ 8 12  2]
  [10 13  2]
  ...
  [73 66 14]
  [74 66 15]
  [90 77 32]]

 [[ 6  9  2]
  [ 6  9  2]
  [ 6  9  1]
  ...
  [70 65 12]
  [69 64 13]
  [96 84 40]]

 ...

 [[23 21  8]
  [18 17  6]
  [ 8  8  3]
  ...
  [45 37 15]
  [22 20  7]
  [ 9 10  4]]

 [[23 21  8]
  [15 13  5]
  [ 8  7  3]
  ...
  [36 30 12]
  [12 12  5]
  [ 6  8  3]]

 [[24 24 10]
  [13 12  4]
  [ 7  6  2]
  ...
  [22 20  8]
  [ 9 10  4]
  [ 7  8  4]]]",1
154,"[[[ 86 131  21]
  [ 85 131  19]
  [ 83 132  18]
  ...
  [ 74  95  65]
  [ 59  85  42]
  [ 66  89  50]]

 [[ 83 130  19]
  [ 83 131  18]
  [ 82 133  18]
  ...
  [ 75  96  67]
  [ 56  82  39]
  [ 61  88  44]]

 [[ 82 131  18]
  [ 84 133  18]
  [ 86 135  22]
  ...
  [ 75  98  69]
  [ 53  82  38]
  [ 57  85  40]]

 ...

 [[ 52  71  43]
  [ 60  71  47]
  [ 66  70  51]
  ...
  [ 23  36  24]
  [ 18  30  16]
  [ 24  38  19]]

 [[ 50  69  40]
  [ 65  73  48]
  [ 69  68  47]
  ...
  [ 26  41  28]
  [ 21  33  19]
  [ 23  37  19]]

 [[ 47  68  37]
  [ 55  66  41]
  [ 49  51  32]
  ...
  [ 28  44  31]
  [ 23  37  22]
  [ 23  38  19]]]",0
155,"[[[172 172 170]
  [171 171 169]
  [184 184 182]
  ...
  [ 66  53  27]
  [ 67  53  28]
  [ 67  52  28]]

 [[173 173 172]
  [180 180 179]
  [191 191 189]
  ...
  [ 64  49  24]
  [ 62  48  22]
  [ 61  47  21]]

 [[178 178 178]
  [190 192 191]
  [193 193 192]
  ...
  [ 65  49  25]
  [ 63  48  23]
  [ 62  46  21]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",1
156,,0.0
157,"[[[ 84  21  39]
  [ 73  37  51]
  [ 99  11  33]
  ...
  [ 53  75  80]
  [ 54  81  66]
  [ 50  62  50]]

 [[ 64  22  37]
  [ 61  44  54]
  [ 91  21  38]
  ...
  [ 48  60  64]
  [ 55  85  68]
  [ 46  74  49]]

 [[ 61  35  57]
  [ 80  31  47]
  [ 93  20  37]
  ...
  [ 39  50  50]
  [ 50  60  58]
  [ 44  59  47]]

 ...

 [[110  13  52]
  [105   9  42]
  [106  10  51]
  ...
  [ 31  74  46]
  [ 35  80  62]
  [ 38  73  73]]

 [[106  12  47]
  [104  11  46]
  [105  12  53]
  ...
  [ 34  60  58]
  [ 35  70  68]
  [ 33  73  68]]

 [[100   9  40]
  [102  12  48]
  [101  10  42]
  ...
  [ 28  51  54]
  [ 33  61  75]
  [ 31  64  63]]]",0
158,,1.0
159,"[[[ 30  58  15]
  [ 33  62  17]
  [ 42  74  20]
  ...
  [ 68 108   4]
  [ 81 120   4]
  [ 86 126   4]]

 [[ 35  65  21]
  [ 39  69  21]
  [ 34  63  14]
  ...
  [ 86 126   4]
  [ 89 128   6]
  [ 91 129   7]]

 [[ 34  63  18]
  [ 40  69  23]
  [ 32  60  15]
  ...
  [ 86 126   4]
  [ 84 124   4]
  [ 80 121   4]]

 ...

 [[ 51  87  21]
  [ 53  90  23]
  [ 52  89  22]
  ...
  [ 29  56  10]
  [ 34  64  13]
  [ 46  79  22]]

 [[ 53  87  24]
  [ 50  85  21]
  [ 48  84  18]
  ...
  [ 33  61  10]
  [ 41  71  14]
  [ 50  83  22]]

 [[ 41  71  17]
  [ 39  69  14]
  [ 43  74  15]
  ...
  [ 34  62  11]
  [ 38  68  10]
  [ 47  81  16]]]",0
160,"[[[ 37  33  25]
  [ 41  35  28]
  [ 45  38  29]
  ...
  [ 95  86 121]
  [ 93  94 118]
  [ 99 103 118]]

 [[ 47  40  30]
  [ 50  42  33]
  [ 52  43  34]
  ...
  [178 134 168]
  [164 135 159]
  [149 133 148]]

 [[ 50  45  34]
  [ 51  45  35]
  [ 52  44  34]
  ...
  [219 166 197]
  [209 168 191]
  [192 164 178]]

 ...

 [[ 90  80  64]
  [ 91  84  65]
  [ 99  91  70]
  ...
  [ 70  61  53]
  [ 59  51  47]
  [ 80  72  63]]

 [[104  95  83]
  [113 104  93]
  [112 102  86]
  ...
  [ 57  49  42]
  [ 60  51  44]
  [ 57  52  47]]

 [[104  90  80]
  [ 96  84  75]
  [111  99  87]
  ...
  [ 77  68  64]
  [ 73  66  63]
  [ 63  59  60]]]",1
161,,1.0
162,"[[[ 3  8  5]
  [ 3  8  4]
  [ 5 10  6]
  ...
  [58 25  4]
  [51 22  4]
  [53 22  3]]

 [[ 3  7  4]
  [ 4  8  4]
  [ 6 10  6]
  ...
  [59 24  4]
  [53 22  3]
  [53 22  4]]

 [[ 3  7  4]
  [ 5  9  5]
  [ 6 10  7]
  ...
  [58 24  3]
  [54 22  3]
  [55 22  4]]

 ...

 [[ 4  5  7]
  [ 4  5  6]
  [ 3  4  6]
  ...
  [53 48 47]
  [51 46 46]
  [47 45 44]]

 [[ 4  5  7]
  [ 4  5  7]
  [ 3  4  6]
  ...
  [46 43 42]
  [47 44 43]
  [47 43 42]]

 [[ 3  4  6]
  [ 3  4  6]
  [ 3  4  6]
  ...
  [44 40 38]
  [44 39 39]
  [44 42 39]]]",1
163,"[[[154 111  78]
  [155 112  78]
  [153 110  76]
  ...
  [120  75  57]
  [121  75  58]
  [122  77  59]]

 [[145  98  68]
  [145  98  67]
  [145  98  66]
  ...
  [132  87  67]
  [134  89  69]
  [131  87  66]]

 [[136  86  61]
  [137  86  60]
  [138  87  59]
  ...
  [143 100  77]
  [135  91  68]
  [121  78  56]]

 ...

 [[ 65  43  34]
  [ 65  44  35]
  [ 63  43  32]
  ...
  [ 79  61  54]
  [ 75  58  51]
  [ 69  54  48]]

 [[ 63  42  32]
  [ 54  35  25]
  [ 46  29  19]
  ...
  [ 76  58  53]
  [ 71  56  51]
  [ 64  51  46]]

 [[ 46  28  17]
  [ 47  30  20]
  [ 48  31  23]
  ...
  [ 73  57  52]
  [ 68  53  50]
  [ 61  48  45]]]",1
164,"[[[15 15  5]
  [17 17  6]
  [17 17  7]
  ...
  [ 1  1  0]
  [ 1  1  1]
  [ 1  1  1]]

 [[16 16  5]
  [18 17  6]
  [19 18  9]
  ...
  [ 1  1  0]
  [ 1  1  1]
  [ 1  1  1]]

 [[16 16  6]
  [18 17  8]
  [21 19  9]
  ...
  [ 1  1  1]
  [ 1  1  0]
  [ 2  2  1]]

 ...

 [[16 21 18]
  [22 27 24]
  [29 35 33]
  ...
  [ 0  1  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[16 20 16]
  [22 29 25]
  [29 35 32]
  ...
  [ 1  3  1]
  [ 0  1  0]
  [ 0  0  0]]

 [[14 19 14]
  [21 29 25]
  [31 37 33]
  ...
  [ 2  4  2]
  [ 1  2  1]
  [ 0  0  0]]]",1
165,"[[[ 82  71  68]
  [ 89  83  83]
  [100  98 104]
  ...
  [131 132 137]
  [126 124 124]
  [105  97  95]]

 [[ 95  91  97]
  [104 104 113]
  [110 115 126]
  ...
  [135 134 135]
  [127 122 119]
  [111 105 103]]

 [[ 94  85  83]
  [ 97  89  90]
  [110 109 115]
  ...
  [136 134 131]
  [127 120 117]
  [116 108 104]]

 ...

 [[ 96 116 131]
  [ 97 115 130]
  [103 123 139]
  ...
  [152 155 157]
  [146 149 152]
  [130 133 134]]

 [[ 90 108 123]
  [ 92 108 121]
  [100 119 134]
  ...
  [150 152 155]
  [144 146 147]
  [134 135 134]]

 [[ 86 102 116]
  [ 87 103 115]
  [ 94 114 127]
  ...
  [154 156 160]
  [146 148 152]
  [138 141 142]]]",1
166,"[[[ 67  81  66]
  [ 76  84  66]
  [ 77  85  65]
  ...
  [108 104  92]
  [124 118 100]
  [121 125 117]]

 [[ 83  94  83]
  [ 98 104  86]
  [101 106  86]
  ...
  [141 148 157]
  [131 139 147]
  [132 140 147]]

 [[ 90 101  93]
  [119 122 105]
  [123 125 107]
  ...
  [155 145 116]
  [161 152 125]
  [165 154 131]]

 ...

 [[141 143 140]
  [140 142 139]
  [131 133 129]
  ...
  [108  30  39]
  [110  51  57]
  [ 86  87  74]]

 [[118 120 115]
  [116 114 104]
  [128 124 111]
  ...
  [107  31  39]
  [115  50  57]
  [ 99  95  82]]

 [[128 124 110]
  [156 149 134]
  [172 165 154]
  ...
  [104  31  39]
  [117  47  55]
  [104  97  85]]]",0
